ADDRESS_ID,LATITUDE,LONGITUDE,STREET_ADDRESS,CITY,STATE,COUNTY
521300005982.0,32.315803,-96.627896,8457 Wright Mountains Apt. 377,Ennis,TX,Ellis
521300990369.0,32.80629,-96.779857,457 John Mills,Dallas,TX,Dallas
521300256124.0,32.825737,-96.939687,5726 Barnett Meadow,Irving,TX,Dallas
521300798596.0,32.867192,-96.715552,050 Nicholas Views,Dallas,TX,Dallas
521301084127.0,33.055527,-96.705288,207 Rebecca Brook,Plano,TX,Collin
521300528279.0,33.406005,-96.966034,9983 Jesse Landing,Pilot Point,TX,Denton
521300726252.0,32.892217,-97.083184,76627 Waters Estate Apt. 016,Grapevine,TX,Tarrant
521301011394.0,32.858974,-96.649463,378 Anderson Manors Suite 859,Dallas,TX,Dallas
521300507544.0,32.982515,-96.575038,12710 Vanessa Rest,Sachse,TX,Dallas
521300534230.0,32.553783,-97.338032,511 Rebecca Tunnel,Burleson,TX,Johnson
521301326403.0,32.91190400000001,-96.98565,6386 Kenneth Crossing Apt. 295,Irving,TX,Dallas
521300537439.0,32.784057999999995,-96.849653,7269 Jason Trace Apt. 392,Dallas,TX,Dallas
521300368024.0,32.620703000000006,-97.106891,826 Wilson Shore Suite 549,Arlington,TX,Tarrant
521300862858.0,32.8583,-96.460919,668 Christine Junctions,Rockwall,TX,Rockwall
521300000712.0,32.850294,-97.335051,8875 Lisa Forest,Fort Worth,TX,Tarrant
521300555215.0,32.86974,-97.12027,778 Lee Streets Apt. 658,Bedford,TX,Tarrant
521301085267.0,32.905153,-96.52605,301 Dalton Forge,Rowlett,TX,Dallas
521300230809.0,32.866294,-96.65882,6163 Strickland Point,Garland,TX,Dallas
521300940558.0,32.457939,-97.38531,9285 Jenkins Cove Apt. 104,Joshua,TX,Johnson
521300440009.0,32.553403,-97.330766,36852 Elizabeth Vista Apt. 421,Burleson,TX,Johnson
521300632645.0,32.735409000000004,-97.026982,3257 Clements Locks,Grand Prairie,TX,Dallas
521300246046.0,32.844877,-97.236534,47132 Harrison Harbor,North Richland Hills,TX,Tarrant
521300302272.0,32.649049999999995,-97.031468,815 Matthew Manor Suite 768,Grand Prairie,TX,Dallas
521300119759.0,32.826319,-96.964747,9733 Vincent Village Suite 665,Irving,TX,Dallas
521300271551.0,32.396251,-96.29834,91076 Alyssa Lodge,Kemp,TX,Kaufman
521300542344.0,32.837663,-96.616505,4806 Anderson Bypass Suite 402,Garland,TX,Dallas
521300512040.0,32.825439,-97.411543,637 David Crossing,Fort Worth,TX,Tarrant
521300064100.0,33.185241999999995,-96.494635,5193 Rice Lane Suite 596,Princeton,TX,Collin
521300063439.0,32.82507,-96.753715,94953 Joshua Walks,Dallas,TX,Dallas
521300979020.0,32.60382,-96.846014,USNS Thornton,Desoto,TX,Dallas
521300925882.0,33.175931,-96.661163,3175 Smith Manor Apt. 034,Mckinney,TX,Collin
521300753746.0,32.600533,-97.108713,13675 Julie Falls Suite 105,Mansfield,TX,Tarrant
521300236718.0,32.316989,-96.24642,47485 Jennifer Forge Suite 862,Kemp,TX,Kaufman
521301184570.0,33.026878,-96.830512,7474 Nicole Estates,Plano,TX,Collin
521301011806.0,32.929584,-97.240042,480 Brian Extensions Suite 696,Keller,TX,Tarrant
521301427892.0,33.068071,-96.660214,2441 Andrew Ville Suite 660,Allen,TX,Collin
521300449899.0,32.951139,-97.252931,USCGC Oneal,Keller,TX,Tarrant
521300068118.0,32.735841,-97.261148,3375 Stephanie Tunnel,Fort Worth,TX,Tarrant
521300451189.0,32.884243,-96.443153,498 John Circles Apt. 383,Rockwall,TX,Rockwall
521301325326.0,33.173994,-96.718127,Unit 8378 Box 6960,Mckinney,TX,Collin
521300806969.0,33.056625000000004,-96.701782,9551 Michael Light Apt. 400,Plano,TX,Collin
521300599366.0,32.346383,-96.818466,9784 Doyle Valley,Waxahachie,TX,Ellis
521300074981.0,32.710517,-97.440954,9065 Wong Path Suite 885,Fort Worth,TX,Tarrant
521300615861.0,32.887292,-96.818986,22035 Thomas Island Suite 759,Dallas,TX,Dallas
521301521324.0,32.663405,-97.189649,16131 Alexander Island,Arlington,TX,Tarrant
521300248597.0,32.681501,-97.262618,558 Schmidt Corner Suite 843,Fort Worth,TX,Tarrant
521300794487.0,33.056847,-96.765446,08865 Rice Inlet,Plano,TX,Collin
521300751562.0,32.996806,-96.792344,994 Strickland Land,Dallas,TX,Collin
521300224977.0,32.684535999999994,-97.169458,5133 Brown Pike,Arlington,TX,Tarrant
521301042580.0,32.819726,-97.078686,823 Brandy Squares Apt. 065,Euless,TX,Tarrant
521301152194.0,32.645881,-96.914156,4222 Diaz Trafficway,Duncanville,TX,Dallas
521301056607.0,33.151689,-97.027819,46957 Gomez Alley Suite 999,Lake Dallas,TX,Denton
521301438887.0,32.710608,-97.069078,968 Ryan Squares,Arlington,TX,Tarrant
521301469989.0,32.825768,-96.612058,8881 Morris Ferry Apt. 972,Mesquite,TX,Dallas
521300823206.0,32.48716,-96.955808,35361 Brown Ferry Suite 796,Midlothian,TX,Ellis
521300735258.0,33.242093,-97.065459,5165 Sloan Parks,Denton,TX,Denton
521300149188.0,32.524735,-96.786768,4262 David Road,Red Oak,TX,Ellis
521300147118.0,32.712077,-97.450568,0798 Kathleen Lake Apt. 238,Fort Worth,TX,Tarrant
521300636658.0,32.825329,-96.922965,"PSC 0261, Box 2658",Irving,TX,Dallas
521300504867.0,32.726949999999995,-97.252341,615 Lang Light,Fort Worth,TX,Tarrant
521300793152.0,32.748352999999994,-97.376954,7806 Robert Turnpike,Fort Worth,TX,Tarrant
521300881449.0,32.835832,-96.751076,45663 Daniels Mall,Dallas,TX,Dallas
521300651737.0,32.847873,-96.798071,38300 Moss Mountains,Dallas,TX,Dallas
521300786107.0,32.777981000000004,-97.117086,4958 Kerr Shore Suite 797,Arlington,TX,Tarrant
521300751317.0,33.106116,-96.7434,Unit 1710 Box 2005,Plano,TX,Collin
521300843373.0,32.79427,-96.747716,USS Fields,Dallas,TX,Dallas
